Aimal ID,lat,long,Sex,Age,Lactating,Pregnancy,Fec_Wt,rounds,roundsepg,hooks,hooksepg,coccid,coccidepg,whips,giardia,crypto,toxo
F1,40.68269,-73.88845,F,A,Y,N,1.42,7,4.93,,,6,4.23,,,,
F2,40.68269,-73.88845,M,J,,,1.15,902,784.35,284,246.96,,,,,,
F3,40.68269,-73.88845,F,J,Y,N,0.24,99,412.5,6,25,,,,,,
F4,40.68269,-73.88845,M,J,,,1.1,1384,1258.18,,,129,117.27,,,,
F5,40.68269,-73.88845,M,A,,,1.42,1,0.7,,,,,,,,
F6,40.68269,-73.88845,M,J,,,0.85,1300,1529.41,,,,,,,,
F7,40.68269,-73.88845,M,J,,,1.14,2,1.75,,,,,,,,
F8,40.68269,-73.88845,M,J,,,1.36,23,16.91,,,,,,Y,,Y
F9,40.68269,-73.88845,F,J,N,N,0.39,17,43.59,2,5.13,,,,,,Y
F10,40.68269,-73.88845,F,J,N,N,0.93,9,9.68,,,,,,,,
F11,40.69311,-73.83789,F,J,N,N,1.11,,,,,,,,,,
F13,40.66256,-73.90891,F,A,Y,N,1.56,1,0.64,,,,,,,,
F14,40.66256,-73.91891,F,J,N,N,0.47,3,6.38,,,,,,,,
F15,40.68269,-73.88845,M,A,,,0.38,159,418.42,,,,,,,,
F16,40.68269,-73.89845,F,K,N,N,0.1,,,,,,,,,,
F17,40.68269,-73.89845,F,K,N,N,0.86,466,541.86,,,,,,,,
F18,40.68269,-73.89845,F,A,N,N,1.36,,,,,,,,,,
F19,40.68269,-73.89845,F,J,Y,N,0.75,,,,,,,,,,
F20,40.68269,-73.89845,F,J,N,N,1.22,,,,,,,,,,
F21,40.68269,-73.89845,M,A,,,1.06,23,21.7,1000,943.4,,,,,,
F22,40.68269,-73.89845,F,A,Y,N,0.1,1,10,,,,,,Y,,
F23,40.68269,-73.89845,F,J,N,Y,0.1,1,10,,,,,,,,
F24,40.65979,-73.89845,F,J,N,Y,1.04,,,,,,,,,,
F25,40.66707,-73.90953,F,J,N,N,1.06,1,0.94,,,,,,,,
F27,40.63948,-73.94091,F,J,N,Y,0.67,,,,,,,,,,
F28,40.67641,-73.871,F,A,Y,N,0.72,97,134.72,,,3,4.17,,,,Y
F29,40.81714,-73.88636,M,A,,,0.73,,,,,,,,,,
F30,40.67482,-73.86426,F,A,N,N,0.74,,,,,,,,,,
F31,40.61526,-73.92328,F,J,Y,N,1.15,,,,,,,,,,
F32,40.63948,-73.94091,F,J,N,Y,0.21,1,4.76,,,,,,Y,,
F33,40.73481,-73.71556,M,J,,,1.36,3,2.21,361,265.44,,,,,,
F34,40.67553,-73.74718,F,J,Y,N,1.53,,,,,,,,,,
F35,40.68984,-73.78137,F,J,N,N,1.15,,,,,,,,,,
F36,40.68791,-73.82692,F,J,N,Y,0.45,61,135.56,,,,,,,,
F37,40.69206,-73.79353,F,J,Y,N,1.05,2,1.9,13,12.38,,,,,,
F38,40.61809,-73.91786,F,A,N,N,0.15,,,,,,,,,,
F39,40.6457,-73.9434,M,J,,,1.18,,,,,,,,,,
F40,40.68432,-73.8254,M,J,,,1.38,11,7.97,5,3.62,,,,Y,,
F41,40.6896,-73.86727,M,A,,,0.32,43,134.38,4,12.5,,,,,,Y
F42,40.63948,-73.94091,F,J,N,N,1.35,,,,,,,,Y,,
F43,40.66397,-73.91776,F,J,N,N,0.54,1,1.85,,,,,,,Y,
